State ,Price
Idaho ,8
North Dakota ,8.1
Washington ,8.2
Arkansas ,8.7
Utah ,8.8
Louisiana ,8.9
Wyoming ,8.9
South Dakota ,9
Nebraska ,9
Kentucky ,9
West Virginia ,9.2
Oklahoma ,9.2
Oregon ,9.4
Montana ,9.6
Missouri ,9.7
Tennessee ,9.8
Indiana ,10
North Carolina ,10.2
Mississippi ,10.3
Iowa ,10.5
Kansas ,10.5
Virginia ,10.5
New Mexico ,10.7
Minnesota ,10.9
South Carolina ,11
Arizona ,11.1
Georgia ,11.1
Alabama ,11.1
Colorado ,11.2
Ohio ,11.2
Texas ,11.3
Illinois ,11.7
Florida ,11.7
Nevada ,11.7
Michigan ,13
Wisconsin ,13
Pennsylvania ,13.2
Maryland ,13.7
District of Columbia ,13.7
Delaware ,13.7
Massachusetts ,14.8
Rhode Island ,14.9
California ,15.2
Maine ,15.5
Vermont ,16.1
New Jersey ,16.3
New Hampshire ,16.5
Alaska ,17.5
Connecticut ,18.1
New York ,18.1
Hawaii ,33.2
